# JMA Ground Weather Observation Stations
Kname,station_id,name_jp,latitude,longitude,altitude,barometer_height,anemometer_height
Irozaki,666,石廊崎,34.36,138.5048,54.7,55.8,12.4
Ishigakijima,918,石垣島,24.1954,124.0948,5.7,6.8,22.2
Ishinomaki,592,石巻,38.253,141.1812,42.5,50.0,28.5
Iwamizawa,413,岩見沢,43.1236,141.4718,42.3,50.9,20.0
Izuhara,800,厳原,34.1142,129.1736,3.7,18.6,36.1
Kagoshima,827,鹿児島,31.3306,130.3306,3.9,31.1,44.9
Kanazawa,605,金沢,36.3512,136.3818,5.7,33.0,48.4
Karuizawa,622,軽井沢,36.2018,138.3254,999.1,1004.4,15.1
Katsuura,674,勝浦,35.0848,140.1854,11.9,13.0,12.3
Kawaguchiko,640,河口湖,35.2948,138.4548,859.8,860.5,12.8
Kitamiesashi,402,北見枝幸,44.5618,142.3524,6.7,8.0,10.4
Kobe,770,神戸,34.4118,135.1048,57.5,59.2,21.9
Kochi,893,高知,33.3354,133.3306,0.5,17.6,15.4
Kofu,638,甲府,35.3948,138.3324,272.8,280.9,26.9
Kumagaya,626,熊谷,36.0848,139.23,30.0,30.7,16.8
Kumamoto,819,熊本,32.4836,130.4236,37.7,39.0,14.8
Kumejima,929,久米島,26.2006,126.4818,4.0,4.9,9.7
Kure,766,呉,34.1418,132.3312,3.5,12.0,17.5
Kushiro,418,釧路,42.583,144.233,31.7,36.7,22.1
Kutchan,433,倶知安,42.5354,140.4542,176.1,187.6,30.3
Kyoto,759,京都,35.0042,135.4406,41.4,45.9,16.2
Maebashi,624,前橋,36.2406,139.0348,112.1,113.1,17.3
Maiduru,750,舞鶴,35.2648,135.1912,2.5,22.1,41.3
Makurazaki,831,枕崎,31.1606,130.1742,29.5,31.0,10.4
Matsue,741,松江,35.2712,133.0406,16.9,21.7,26.7
Matsumoto,618,松本,36.1436,137.5824,610.0,611.1,16.2
Matsuyama,887,松山,33.5024,132.4648,32.2,33.6,20.5
Minamidaitojima,945,南大東島,25.4942,131.1336,15.3,20.2,22.2
Minamitorishima,991,南鳥島,24.18,153.58,8.3,9.0,13.4
Mishima,657,三島,35.0642,138.5548,20.5,21.7,12.7
Mito,629,水戸,36.2236,140.2812,29.3,30.7,14.0
Miyakejima,677,三宅島,34.0712,139.3124,36.2,37.1,12.9
Miyako,585,宮古,39.3842,141.5806,42.5,46.4,20.2
Miyakojima,927,宮古島,24.4724,125.1642,39.9,40.9,13.6
Miyakonojo,829,都城,31.4336,131.05,153.8,155.1,11.7
Miyazaki,830,宮崎,31.5512,131.2524,6.3,7.2,23.3
Monbetsu,435,紋別,44.2036,143.2136,15.8,16.4,18.1
Morioka,584,盛岡,39.4142,141.1006,155.2,153.4,15.6
Muroran,423,室蘭,42.1836,140.5854,39.9,49.2,18.2
Murotomisaki,899,室戸岬,33.1454,134.1048,185.0,186.4,41.8
Mutsu,576,むつ,41.1654,141.1254,2.9,4.5,15.0
Nagano,610,長野,36.3936,138.1142,418.2,419.3,19.0
Nagasaki,817,長崎,32.4348,129.5212,26.9,35.2,18.7
Nago,940,名護,26.3524,127.5806,6.1,17.8,25.6
Nagoya,636,名古屋,35.0954,136.5806,51.1,55.7,17.9
Naha,936,那覇,26.1212,127.4118,28.1,53.1,47.8
Nara,780,奈良,34.4124,135.4948,104.4,105.5,11.2
Nase,909,名瀬,28.2236,129.2954,2.8,7.4,20.8
Nemuro,420,根室,43.1942,145.3524,25.2,38.5,29.1
Niigata,604,新潟,37.543,139.03,1.9,6.4,18.5
Nikko,690,日光,36.4406,139.3012,1291.9,1297.7,17.2
Nobeoka,822,延岡,32.3442,131.3936,19.2,20.5,13.2
Obihiro,417,帯広,42.5506,143.1254,38.4,43.2,14.5
Ofunato,512,大船渡,39.0336,141.4306,36.9,41.3,22.1
Oita,815,大分,33.1354,131.3712,4.6,12.7,19.8
Okayama,768,岡山,34.3924,133.5506,2.8,18.0,70.9
Okinoerabu,942,沖永良部,27.2542,128.4224,26.6,29.4,13.5
Omaezaki,655,御前崎,34.3606,138.1254,44.7,46.5,16.3
Onahama,598,小名浜,36.5636,140.5424,3.2,4.8,15.0
Osaka,772,大阪,34.4042,135.3118,23.1,82.5,94.2
Oshima,675,大島,34.4448,139.2154,74.0,79.3,27.1
Otaru,411,小樽,43.1048,141.0112,24.9,26.1,12.3
Oumu,405,雄武,44.3442,142.5806,13.8,15.4,11.3
Owase,663,尾鷲,34.0354,136.1142,15.3,26.9,28.5
Rumoi,406,留萌,43.5636,141.3812,23.6,27.8,15.8
Saga,813,佐賀,33.1542,130.1824,3.6,32.4,56.2
Saigo,740,西郷,36.1206,133.2012,26.5,31.4,17.5
Sakai,742,境,35.323,133.1412,2.0,2.9,11.9
Sakata,587,酒田,38.5418,139.5048,3.1,3.8,27.6
Sapporo,412,札幌,43.0324,141.1954,17.2,18.6,31.3
Sasebo,812,佐世保,33.0906,129.4406,16.7,15.2,13.1
Sendai,590,仙台,38.153,140.54,38.9,43.3,52.0
Shimizu,898,清水,32.4306,133.0042,31.0,32.7,13.7
Shimonoseki,762,下関,33.5642,130.5542,3.3,19.0,14.5
Shinjo,520,新庄,38.4512,140.1854,105.1,113.0,30.9
Shionomisaki,778,潮岬,33.2654,135.4548,73.0,74.7,15.1
Shirakawa,597,白河,37.0742,140.1312,355.0,372.1,45.5
Shizuoka,656,静岡,34.5818,138.2424,14.1,15.3,16.3
Sukumo,897,宿毛,32.5506,132.4148,2.2,10.7,17.9
Sumoto,776,洲本,34.2006,134.5424,109.3,112.4,15.5
Suttu,421,寿都,42.473,140.1336,33.4,37.8,13.4
Suwa,620,諏訪,36.0236,138.0642,760.3,761.8,12.5
Tadotsu,890,多度津,34.1624,133.4518,3.7,4.8,13.2
Takada,612,高田,37.0612,138.15,12.9,18.2,16.7
Takamatsu,891,高松,34.1848,134.0324,8.7,9.9,16.6
Takayama,617,高山,36.0912,137.1524,560.1,561.4,15.2
Tanegashima,837,種子島,30.4406,130.5936,17.0,18.2,10.6
Tateno,646,館野,36.0318,140.0748,25.2,30.5,20.5
Tateyama,672,館山,34.59,139.5206,5.8,6.7,14.7
Tokushima,895,徳島,34.0354,134.3436,1.6,5.8,17.5
Tokyo,662,東京,35.41,139.4548,6.5,35.8,74.5
Tomakomai,424,苫小牧,42.3712,141.33,6.3,10.9,15.9
Tottori,746,鳥取,35.2906,134.1424,7.1,15.2,32.0
Toyama,607,富山,36.4224,137.1218,8.6,16.8,20.0
Toyooka,747,豊岡,35.32,134.493,3.4,4.2,12.9
Tsu,651,津,34.4348,136.3118,2.6,17.8,39.6
Tsuruga,631,敦賀,35.39,136.0354,1.6,11.8,27.7
Tsuyama,756,津山,35.0342,134.0042,145.7,147.1,11.8
Ueno,649,上野,34.453,136.0842,159.1,165.0,21.9
Urakawa,426,浦河,42.093,142.4648,32.5,36.5,14.5
Ushibuka,838,牛深,32.1142,130.0142,3.0,14.4,20.6
Utsunomiya,615,宇都宮,36.3248,139.5218,119.4,139.9,49.2
Uwajima,892,宇和島,33.1324,132.3318,2.4,14.2,33.1
Wajima,600,輪島,37.2324,136.5354,5.2,13.9,28.3
Wakamatsu,570,若松,37.2906,139.5448,212.1,212.8,13.4
Wakayama,777,和歌山,34.1336,135.1,13.9,17.6,38.9
Wakkanai,401,稚内,45.2448,141.41,2.8,11.0,23.4
Yakushima,836,屋久島,30.2242,130.3942,36.4,37.8,9.9
Yamagata,588,山形,38.1512,140.2054,152.5,153.2,13.8
Yamaguchi,784,山口,34.0924,131.273,16.7,17.8,15.3
Yokkaichi,684,四日市,34.5536,136.3518,47.2,51.7,12.2
Yokohama,670,横浜,35.2612,139.3918,39.1,41.8,19.5
Yonago,744,米子,35.2554,133.203,6.4,7.8,18.2
Yonakunijima,912,与那国島,24.2742,123.0036,30.0,36.0,14.4
